Mob,Miniatura,Mapa,Race,Element,Size,Class,Horarios
Femmire,https://i.imgur.com/ds86FSd.png,swamp_01,Formless,Water,Medium,Mini-Boss,"01:40,03:40,05:50,07:50,09:40,11:30,13:30,15:50,17:50,19:40,21:50,23:40"
Garm,https://static.divine-pride.net/images/mobs/png/1252.png,xmas_fild02,Brute,Water,Large,MVP,"01:00,04:00,09:00,13:00,17:00,21:00"
Ghostring,https://static.divine-pride.net/images/mobs/png/1120.png,gl_in01,Demon,Ghost,Medium,Mini-Boss,"01:10,03:20,05:20,07:00,09:00,11:20,13:10,15:10,16:50,19:10,21:30,23:10"
Goblin Leader,https://static.divine-pride.net/images/mobs/png/1299.png,gef_fild11,DemiHuman,Wind,Medium,Mini-Boss,"01:00,02:50,05:00,07:10,09:20,11:00,13:10,15:00,17:00,19:00,21:00,23:20"
Gryphon,https://static.divine-pride.net/images/mobs/png/1259.png,ra_fild02,Brute,Wind,Large,Mini-Boss,"01:30,03:30,05:10,07:30,09:40,11:50,13:50,15:40,17:50,19:30,21:20,23:30"
Hydrolancer,https://static.divine-pride.net/images/mobs/png/1720.png,abyss_02,Dragon,Shadow,Large,Mini-Boss,"00:00,02:10,04:00,06:00,08:10,10:00,12:00,14:10,16:00,18:20,20:00,22:00"
Iskralisa,https://static.divine-pride.net/images/mobs/png/3173.png,mag_dun02,Demon,Fire,Medium,Mini-Boss,"01:20,03:00,05:20,07:10,09:10,11:20,13:20,15:40,17:30,19:20,21:10,23:00"
Ju-On,https://i.imgur.com/dbhgzBu.png,pay_dun03,Undead,Shadow,Medium,Mini-Boss,"01:40,03:30,05:40,07:40,09:20,11:30,13:40,15:20,17:40,19:50,21:50,23:30"
Kobold Leader,https://static.divine-pride.net/images/mobs/png/1296.png,ra_fild05,DemiHuman,Wind,Medium,Mini-Boss,"00:20,02:30,04:10,06:20,08:40,10:30,12:30,14:10,16:20,18:00,20:10,22:00"
Kublin,https://static.divine-pride.net/images/mobs/png/1980.png,mjo_dun03,DemiHuman,Earth,Medium,Mini-Boss,"01:30,03:20,05:40,07:20,09:30,11:50,13:40,15:30,17:10,19:30,21:30,23:30"
Lockstep,https://static.divine-pride.net/images/mobs/png/3126.png,juperos_02,Demon,Neutral,Medium,Mini-Boss,"01:50,03:40,05:50,07:50,09:50,11:40,13:50,15:40,17:50,19:50,21:40,23:50"
Mastering,https://i.imgur.com/5OSvctZ.png,pay_fild04,Plant,Water,Medium,Mini-Boss,"01:10,03:10,05:10,07:10,09:00,10:50,12:50,15:10,17:10,18:50,21:00,22:50"
Mayus,https://static.divine-pride.net/images/mobs/png/1289.png,anthell02,Insect,Earth,Large,Mini-Boss,"00:40,03:00,04:40,06:40,08:50,10:40,12:40,14:40,16:40,18:40,20:50,22:40"
Mime Monkey,https://static.divine-pride.net/images/mobs/png/1585.png,ayo_fild02,Brute,Water,Medium,Mini-Boss,"01:30,03:20,05:10,07:20,09:30,11:30,13:20,15:30,17:30,19:20,21:20,23:20"
Morajin,https://i.imgur.com/DJ1zUcn.png,iz_dun04,Fish,Wind,Large,Mini-Boss,"00:40,02:30,04:30,06:30,08:50,10:40,13:00,14:40,16:40,18:30,20:30,22:30"
Necromancer,https://static.divine-pride.net/images/mobs/png/1870.png,abbey02,Undead,Corrupt,Medium,Mini-Boss,"00:40,02:50,04:50,06:30,08:50,10:40,12:30,14:50,16:30,18:40,20:40,22:50"
Orc Hero,https://static.divine-pride.net/images/mobs/png/1087.png,gef_fild03,DemiHuman,Earth,Large,MVP,"00:00,04:00,08:00,12:00,16:00,20:00"
Phreeoni,https://static.divine-pride.net/images/mobs/png/1159.png,moc_fild17,Formless,Neutral,Large,MVP,"02:00,06:00,11:00,13:00,16:00,22:00"
Possessed Marble Idol,https://i.imgur.com/klosg7K.png,ra_san02,Demon,Holy,Small,Mini-Boss,"01:40,03:30,05:40,07:40,09:50,11:50,13:30,15:40,17:50,19:30,21:50,23:50"
Rotbloom,https://static.divine-pride.net/images/mobs/png/20627.png,lhz_fild02,Plant,Poison,Small,Mini-Boss,"00:50,02:30,04:30,06:50,08:30,10:50,12:30,14:30,16:40,18:50,20:40,23:00"
Shiosen,https://static.divine-pride.net/images/mobs/png/2254.png,ama_dun02,DemiHuman,Water,Medium,Mini-Boss,"01:50,03:50,05:30,07:50,09:40,11:40,13:40,15:50,17:40,19:50,21:40,23:50"
Silver Thief Bug,https://i.imgur.com/hMW8tGF.png,prt_sewb3,Insect,Neutral,Medium,Mini-Boss,"00:50,03:10,05:00,06:50,08:40,10:30,12:40,14:50,16:50,19:10,21:10,22:50"
Sludge Abomination,https://i.imgur.com/casB9lY.png,gl_sew04,Formless,Poison,Large,Mini-Boss,"01:20,03:10,05:20,07:20,09:20,11:00,13:00,15:10,17:30,19:40,21:30,23:10"
Taffy,https://static.divine-pride.net/images/mobs/png/3443.png,gef_fild,Brute,Earth,Medium,Mini-Boss,"01:00,03:00,05:00,07:00,09:00,11:00,12:40,15:00,17:10,18:50,21:10,22:50"
Tao Gunka,https://static.divine-pride.net/images/mobs/png/3430.png,ayo_dun02,Demon,Neutral,Medium,MVP,"02:00,05:00,09:00,15:00,19:00,23:00"
Tattler Sisters,https://static.divine-pride.net/images/mobs/png/20366.png,orcsdun02,DemiHuman,Shadow,Medium,Mini-Boss,"00:20,02:10,04:10,06:30,08:30,10:10,12:20,14:20,16:20,18:20,20:30,22:30"
Tiki Kanaloa,https://i.imgur.com/yea5jya.png,beach_dun,Demon,Neutral,Large,Mini-Boss,"00:10,02:00,04:10,06:00,08:10,10:20,12:00,14:10,16:20,18:10,20:20,22:10"
Toad,https://i.imgur.com/XNE4Mwm.png,gef_fild01,Fish,Water,Medium,Mini-Boss,"00:00,02:20,04:20,06:10,08:10,10:20,12:10,14:00,16:10,18:10,20:00,22:10"
Twinjaw,https://static.divine-pride.net/images/mobs/png/1618.png,ve_fild01,Insect,Poison,Large,Mini-Boss,"00:10,02:00,04:10,06:00,08:10,10:10,12:00,14:00,16:00,18:00,20:00,22:20"
Twisted Twilight,https://i.imgur.com/WiP5KQu.png,c_tower4,Formless,Ghost,Medium,Mini-Boss,"00:00,02:10,04:00,06:20,08:00,10:00,12:20,14:00,16:00,18:10,20:00,22:10"
Vagabond Wolf,https://static.divine-pride.net/images/mobs/png/1092.png,moc_fild03,Brute,Earth,Medium,Mini-Boss,"01:20,03:30,05:30,07:30,09:30,11:20,13:30,15:30,17:30,19:30,21:20,23:40"
Vesper,https://static.divine-pride.net/images/mobs/png/1685.png,jupe_core,Formless,Neutral,Large,MVP,"03:00,07:00,11:00,15:00,18:00,20:00"
Vocal,https://i.imgur.com/3hFrmKV.png,prt_fild07,Insect,Earth,Medium,Mini-Boss,"00:40,02:40,04:40,06:40,08:20,10:30,12:50,14:40,16:30,18:30,20:50,22:40"
Vodyanoy,https://i.imgur.com/iyTuoCm.png,mosk_dun02,Brute,Water,Medium,Mini-Boss,"01:50,03:50,05:50,07:40,09:50,11:50,13:50,15:50,17:40,19:40,21:40,23:40"
Werewolf,https://i.imgur.com/idWmEbC.png,niflheim,Brute,Shadow,Large,Mini-Boss,"00:20,02:20,04:20,06:40,08:40,10:30,12:10,14:30,16:10,18:20,20:20,22:00"
White Lady,https://static.divine-pride.net/images/mobs/png/1518.png,lou_dun03,DemiHuman,Ghost,Medium,MVP,"03:00,07:00,10:00,12:00,17:00,23:00"
Zealotus,https://static.divine-pride.net/images/mobs/png/1200.png,gl_prison01,DemiHuman,Neutral,Medium,Mini-Boss,"00:00,02:00,04:00,06:10,08:00,10:00,12:10,14:20,16:00,18:10,20:10,22:20"
